Wall time,Step,Value
1704246386.05983,174,1.1782800868331833e-07
1704246525.204787,246,1.184217168770374e-07
1704246950.902053,467,1.1771960828355077e-07
1704247129.360871,558,1.1905988372973297e-07
1704247332.360178,660,1.1854788084519896e-07
1704247610.34592,806,1.17931463705645e-07
1704248019.564917,1028,1.1826873702602825e-07
1704248215.782379,1134,1.1843005864875522e-07
1704248476.580862,1269,1.1819027179171826e-07
1704248820.37051,1460,1.1854668002797553e-07
1704248884.493613,1496,1.1852468873030375e-07
1704248913.343022,1512,1.1908036157137758e-07
1704248981.717041,1550,1.1899154372940757e-07
1704249631.650099,1911,1.1840131719509372e-07
1704249687.862498,1942,1.1842160319019968e-07
1704249952.347094,2081,1.1812891642648538e-07
1704250648.720922,2467,1.1806553601445557e-07
1704250967.93926,2645,1.1817945022585263e-07
1704251040.632305,2686,1.1658402598868634e-07
1704251056.80844,2695,1.172406456362296e-07
1704251083.603767,2710,1.1796873167213562e-07
1704251748.068609,3085,1.1781228437257596e-07
1704251954.99109,3201,1.1678289268957087e-07
1704251986.619452,3219,1.1658033116646038e-07
1704252456.25358,3485,1.1713872538621217e-07
1704252603.956079,3568,1.1708829106282792e-07
1704252774.410894,3663,1.163754888011681e-07
1704253366.889756,3977,1.1665387233961155e-07
1704253436.431518,4014,1.163796952141638e-07
1704253457.16045,4025,1.1637126107189033e-07
1704253743.230741,4183,1.1658234910782994e-07
1704254234.451532,4456,1.1590098125680015e-07
1704254903.847231,4834,1.159967482067259e-07
1704254993.660356,4884,1.1595499671557263e-07
1704255343.503301,5081,1.1575868796853683e-07
1704255444.721262,5138,1.1565285973347272e-07
1704255534.15938,5189,1.1569909474928863e-07
1704255624.136952,5240,1.1561976265284102e-07
1704255666.449962,5264,1.1659553678100565e-07
1704255724.756432,5297,1.1566492474912593e-07
1704255766.535701,5321,1.16021567464486e-07
1704255914.4187,5405,1.1582227443796e-07
1704255988.058083,5447,1.1556326029449338e-07
1704256549.903832,5760,1.1488905471424005e-07
1704256763.794022,5881,1.1558404366951436e-07
1704256901.083757,5958,1.1483785300470117e-07
1704256946.189074,5983,1.1572360847367236e-07
1704257244.78569,6144,1.1554984524764222e-07
1704257589.724919,6334,1.1506890729151564e-07
1704257644.681196,6361,1.156256317358384e-07
1704258050.838223,6566,1.1495428964281018e-07
1704258088.124859,6587,1.147652497479612e-07
1704258097.825637,6592,1.1483791695354739e-07
1704258115.506919,6601,1.1461488469421965e-07
1704258390.285077,6752,1.1408084077402236e-07
1704258969.770383,7000,1.1489212425885853e-07
1704259090.826744,7056,1.1396572574540187e-07
1704259445.287583,7209,1.1473331795741615e-07
1704259585.55715,7276,1.1398170585152911e-07
1704259760.368546,7355,1.1406682887127317e-07
1704259966.051985,7470,1.1380251407899777e-07
1704259969.559558,7472,1.1374813624343005e-07
1704260542.973215,7796,1.1416176448619808e-07
1704260651.316287,7857,1.1387479759150665e-07
1704260721.27043,7897,1.1371260910664205e-07
1704260881.077656,7988,1.1434590163617031e-07
1704261120.337774,8124,1.1399158950098354e-07
1704261158.325887,8146,1.135078946390422e-07
1704261284.19068,8218,1.1397088428566349e-07
1704261415.294579,8293,1.1358184082155276e-07
1704261423.817325,8298,1.1384677378600827e-07
1704261601.609879,8399,1.1301267477392685e-07
1704261866.576177,8550,1.1271913535892963e-07
1704262428.706095,8872,1.1341715122625828e-07
1704262440.70109,8879,1.1298727997655078e-07
1704262511.004113,8919,1.1373293062888479e-07
1704262757.448373,9060,1.1339135852495019e-07
1704262926.233729,9154,1.1291815837921604e-07
1704263193.449254,9305,1.1305159119956443e-07
1704263292.591465,9361,1.1300219426857439e-07
1704263464.947662,9458,1.124875552704907e-07
1704263625.932654,9549,1.1314764236658448e-07
1704263659.240131,9568,1.1241186115285018e-07
1704263918.594011,9714,1.1278832801053795e-07
1704263990.663066,9755,1.1259876231406452e-07
1704263992.430281,9756,1.1178615721973983e-07
1704264188.81452,9869,1.125929998124775e-07
1704264236.88587,9896,1.1334743987845286e-07
1704264399.593809,9981,1.1243576381048115e-07
1704264624.046447,10092,1.1335662719602624e-07
1704264820.975507,10193,1.1262414290058587e-07
