Wall time,Step,Value
1704246386.058915,174,-0.4264472424983978
1704246525.203916,246,-0.38348251581192017
1704246950.901151,467,-0.4207233786582947
1704247129.36017,558,-0.3587023615837097
1704247332.357531,660,-0.4128536581993103
1704247610.345136,806,-0.3975104093551636
1704248019.563927,1028,-0.35738062858581543
1704248215.781593,1134,-0.37724727392196655
1704248476.579923,1269,-0.3541104197502136
1704248820.369707,1460,-0.36529070138931274
1704248884.492775,1496,-0.41219562292099
1704248913.342167,1512,-0.3463132381439209
1704248981.71616,1550,-0.4209992587566376
1704249631.649337,1911,-0.4100353717803955
1704249687.861616,1942,-0.37244731187820435
1704249952.346438,2081,-0.4321310222148895
1704250648.720125,2467,-0.38574811816215515
1704250967.938432,2645,-0.3728087246417999
1704251040.631303,2686,-0.3951641023159027
1704251056.807473,2695,-0.4048939049243927
1704251083.60281,2710,-0.3973219394683838
1704251748.067678,3085,-0.4000876247882843
1704251954.982908,3201,-0.3702714145183563
1704251986.618614,3219,-0.3722617030143738
1704252456.252847,3485,-0.36723408102989197
1704252603.955387,3568,-0.3402104675769806
1704252774.410014,3663,-0.3240719735622406
1704253366.888873,3977,-0.36457112431526184
1704253436.430587,4014,-0.3680409789085388
1704253457.159368,4025,-0.39631205797195435
1704253743.229841,4183,-0.40155845880508423
1704254234.450571,4456,-0.4129047989845276
1704254903.84625,4834,-0.3563093841075897
1704254993.659534,4884,-0.4036725163459778
1704255343.502473,5081,-0.39703285694122314
1704255444.720346,5138,-0.3769788146018982
1704255534.158534,5189,-0.45096954703330994
1704255624.136005,5240,-0.42221537232398987
1704255666.449091,5264,-0.3658718466758728
1704255724.75544,5297,-0.393007755279541
1704255766.534752,5321,-0.46120017766952515
1704255914.417963,5405,-0.4249401092529297
1704255988.057261,5447,-0.37429702281951904
1704256549.902564,5760,-0.43148571252822876
1704256763.79326,5881,-0.3623102903366089
1704256901.082897,5958,-0.4171508848667145
1704256946.188152,5983,-0.4209142029285431
1704257244.784759,6144,-0.3253769278526306
1704257589.723939,6334,-0.3632715940475464
1704257644.680197,6361,-0.3746565878391266
1704258050.837766,6566,-0.35265257954597473
1704258088.123965,6587,-0.3776232898235321
1704258097.82477,6592,-0.4026510715484619
1704258115.505996,6601,-0.395271360874176
1704258390.284095,6752,-0.373304545879364
1704258969.767735,7000,-0.3590582311153412
1704259090.825936,7056,-0.37259793281555176
1704259445.28506,7209,-0.37547826766967773
1704259585.555932,7276,-0.3943290114402771
1704259760.364938,7355,-0.4362257122993469
1704259966.047783,7470,-0.39491498470306396
1704259969.558698,7472,-0.40702253580093384
1704260542.972364,7796,-0.35029149055480957
1704260651.315343,7857,-0.41752156615257263
1704260721.269815,7897,-0.3813067078590393
1704260881.076827,7988,-0.3291155695915222
1704261120.336816,8124,-0.40483465790748596
1704261158.324995,8146,-0.4119062125682831
1704261284.189784,8218,-0.42571866512298584
1704261415.29369,8293,-0.37085703015327454
1704261423.81633,8298,-0.3643650412559509
1704261601.60895,8399,-0.43132829666137695
1704261866.575126,8550,-0.44531017541885376
1704262428.705052,8872,-0.33727213740348816
1704262440.700093,8879,-0.36175817251205444
1704262511.003178,8919,-0.4071180522441864
1704262757.447594,9060,-0.37916821241378784
1704262926.232207,9154,-0.37617871165275574
1704263193.44843,9305,-0.360074520111084
1704263292.590605,9361,-0.3206309974193573
1704263464.946592,9458,-0.35745930671691895
1704263625.93188,9549,-0.37634968757629395
1704263659.239288,9568,-0.411800742149353
1704263918.593155,9714,-0.38886573910713196
1704263990.662514,9755,-0.3871484398841858
1704263992.429382,9756,-0.3862716853618622
1704264188.813689,9869,-0.3966730237007141
1704264236.885022,9896,-0.4050334692001343
1704264399.592629,9981,-0.39464032649993896
1704264624.04545,10092,-0.3769439160823822
1704264820.974588,10193,-0.3797532618045807
1704265135.991591,10344,-0.4092021882534027
1704265251.359938,10397,-0.39480897784233093
1704265356.233806,10447,-0.3804034888744354
1704265367.512738,10453,-0.38491758704185486
1704265663.369389,10598,-0.38374364376068115
1704266540.53025,11025,-0.417712926864624
1704266550.813655,11030,-0.40928635001182556
1704267349.558356,11463,-0.3847399652004242
1704268140.689547,11878,-0.39130014181137085
1704268317.577443,11974,-0.3615516126155853
1704268509.719224,12078,-0.43649619817733765
1704268687.228705,12177,-0.37913355231285095
1704268863.453148,12273,-0.42538490891456604
1704268943.552017,12318,-0.43414807319641113
1704269092.726145,12402,-0.43053674697875977
1704269237.304406,12482,-0.398872435092926
1704269451.789578,12603,-0.40675100684165955
1704270002.114213,12907,-0.4550565481185913
1704270072.085702,12946,-0.4373905062675476
1704270126.047228,12974,-0.39844703674316406
1704270134.242505,12978,-0.3910523056983948
1704270233.130734,13026,-0.4107832908630371
1704270281.754224,13050,-0.439170241355896
1704270371.047799,13094,-0.3806180953979492
1704270568.472045,13190,-0.4063919484615326
1704270899.03806,13351,-0.4750359058380127
1704271219.756177,13524,-0.4245571494102478
1704271269.731331,13552,-0.4191972613334656
1704272062.068988,13982,-0.37196123600006104
1704272554.395478,14260,-0.4668465256690979
1704272567.292568,14267,-0.4668866991996765
1704272725.838906,14356,-0.40108197927474976
1704272738.010199,14363,-0.39670127630233765
1704273117.194725,14579,-0.4302593767642975
1704273731.606155,14927,-0.38711661100387573
1704273896.410304,15021,-0.43235355615615845
1704273976.354456,15067,-0.4373140037059784
1704274187.305838,15187,-0.4456890821456909
1704274449.270171,15336,-0.4353918433189392
1704275110.392407,15714,-0.3997979462146759
1704275193.609005,15762,-0.4106047749519348
1704275943.653693,16187,-0.4209969639778137
1704276202.994907,16315,-0.40979814529418945
1704276269.329475,16348,-0.42646828293800354
1704276362.209823,16394,-0.42701631784439087
1704276433.317019,16429,-0.4109821021556854
1704277025.500507,16733,-0.39964449405670166
1704277343.742741,16909,-0.3880859613418579
1704277516.029015,17004,-0.3758341372013092
1704278754.00818,17690,-0.4269851744174957
1704278898.631259,17770,-0.3472771644592285
1704279087.597529,17875,-0.42164719104766846
1704279109.008284,17887,-0.43752923607826233
1704279324.747648,18007,-0.43004393577575684
1704279532.530764,18123,-0.4294024109840393
1704279560.964924,18139,-0.4302389621734619
1704279688.2563,18209,-0.3747480511665344
1704280070.048032,18407,-0.35659730434417725
1704280115.566782,18431,-0.33073893189430237
1704280188.515095,18470,-0.40526294708251953
1704280213.157923,18483,-0.42331692576408386
1704280287.668329,18524,-0.37075769901275635
1704280716.853368,18767,-0.3554273247718811
1704280743.427262,18782,-0.43567466735839844
1704281641.592916,19280,-0.37200430035591125
1704281723.079302,19321,-0.346721887588501
1704281828.036784,19379,-0.40885281562805176
1704282281.693668,19619,-0.43408340215682983
1704282707.595885,19843,-0.4061654508113861
