Wall time,Step,Value
1704246386.06077,174,7.377313409051567e-07
1704246525.20554,246,7.375463724201836e-07
1704246950.903259,467,7.369247896349407e-07
1704247129.361524,558,7.366374461525993e-07
1704247332.361422,660,7.362791620835196e-07
1704247610.346877,806,7.357667755059083e-07
1704248019.565811,1028,7.349883617280284e-07
1704248215.783137,1134,7.346169468291919e-07
1704248476.581787,1269,7.341441801145265e-07
1704248820.371737,1460,7.3347587203898e-07
1704248884.494456,1496,7.333499070227845e-07
1704248913.343909,1512,7.332940867854632e-07
1704248981.717825,1550,7.331611868721666e-07
1704249631.650878,1911,7.319002293115773e-07
1704249687.863364,1942,7.317780728044454e-07
1704249952.348198,2081,7.312373782042414e-07
1704250648.721693,2467,7.296241051335528e-07
1704250967.940094,2645,7.288813321792986e-07
1704251040.633308,2686,7.287103471753653e-07
1704251056.809617,2695,7.286728305189172e-07
1704251083.604717,2710,7.286103027581703e-07
1704251748.069511,3085,7.270485298249696e-07
1704251954.992672,3201,7.265661565725168e-07
1704251986.620305,3219,7.264912937898771e-07
1704252456.254317,3485,7.253863714140607e-07
1704252603.956814,3568,7.250419002957642e-07
1704252774.411742,3663,7.2464791855964e-07
1704253366.890619,3977,7.233470569190104e-07
1704253436.432534,4014,7.231939775920182e-07
1704253457.169066,4025,7.231484460135107e-07
1704253743.231656,4183,7.224949740702868e-07
1704254234.452404,4456,7.213672006400884e-07
1704254903.848134,4834,7.198086677817628e-07
1704254993.661174,4884,7.196027240752301e-07
1704255343.504121,5081,7.187920232354372e-07
1704255444.722088,5138,7.185575441326364e-07
1704255534.160269,5189,7.183479624472966e-07
1704255624.137735,5240,7.181383807619568e-07
1704255666.450896,5264,7.180397574302333e-07
1704255724.757306,5297,7.179041290328314e-07
1704255766.536604,5321,7.178056193879456e-07
1704255914.419396,5405,7.174606366788794e-07
1704255988.058928,5447,7.172882305894746e-07
1704256549.9048,5760,7.160047630350164e-07
1704256763.794736,5881,7.15509145265969e-07
1704256901.084506,5958,7.151939485083858e-07
1704256946.190034,5983,7.150916871978552e-07
1704257244.786523,6144,7.144332130337716e-07
1704257589.725936,6334,7.136569024623896e-07
1704257644.682098,6361,7.135466262297996e-07
1704258050.838707,6566,7.127101184778439e-07
1704258088.125633,6587,7.126245122890396e-07
1704258097.826428,6592,7.126041055016685e-07
1704258115.507837,6601,7.125673846530844e-07
1704258390.285654,6752,7.119519409570785e-07
1704258969.772085,7000,7.109424018381105e-07
1704259090.827536,7056,7.107146302587353e-07
1704259445.289649,7209,7.100927064129792e-07
1704259585.558526,7276,7.098205401234736e-07
1704259760.36947,7355,7.094997158674232e-07
1704259966.056431,7470,7.090329745551571e-07
1704259969.560431,7472,7.0902484594626e-07
1704260542.977068,7796,7.077116492837376e-07
1704260651.317163,7857,7.074646077853686e-07
1704260721.270992,7897,7.07302717728453e-07
1704260881.078472,7988,7.069345429044915e-07
1704261120.338851,8124,7.063846396704321e-07
1704261158.326721,8146,7.062957365633338e-07
1704261284.191511,8218,7.060047551021853e-07
1704261415.295759,8293,7.057018933664949e-07
1704261423.818194,8298,7.056816571093805e-07
1704261601.610796,8399,7.052739192658919e-07
1704261866.577357,8550,7.046648420327983e-07
1704262428.707229,8872,7.033676752143947e-07
1704262440.702045,8879,7.033394808786397e-07
1704262511.005026,8919,7.031785571598448e-07
1704262757.449188,9060,7.026114303698705e-07
1704262926.235302,9154,7.022335921647027e-07
1704263193.450085,9305,7.016271297288768e-07
1704263292.592281,9361,7.014023140072823e-07
1704263464.955407,9458,7.010131071183423e-07
1704263625.933555,9549,7.006481723692559e-07
1704263659.240973,9568,7.005720590314013e-07
1704263918.594811,9714,6.999870265644859e-07
1704263990.663605,9755,6.998228627708158e-07
1704263992.431153,9756,6.998187700446579e-07
1704264188.815425,9869,6.993705028435215e-07
1704264236.886623,9896,6.992623866608483e-07
1704264399.594858,9981,6.989224061726418e-07
1704264624.047358,10092,6.984786296015955e-07
1704264820.976311,10193,6.980750413276837e-07
1704265135.993816,10344,6.974921120672661e-07
1704265251.361994,10397,6.972806545491039e-07
1704265356.23547,10447,6.970811909923214e-07
1704265367.514421,10453,6.970572030695621e-07
1704265663.371384,10598,6.964884278204408e-07
1704266540.532168,11025,6.948205850676459e-07
1704266550.814913,11030,6.948006898710446e-07
1704267349.56012,11463,6.931593929948576e-07
1704268140.691688,11878,6.916168331372319e-07
1704268317.579143,11974,6.912766252753499e-07
1704268509.72113,12078,6.909338594596193e-07
1704268687.230262,12177,6.905866598572175e-07
1704268863.454893,12273,6.902706672917702e-07
1704268943.553692,12318,6.901212259435852e-07
1704269092.72802,12402,6.898093261042959e-07
1704269237.306342,12482,6.895462547618081e-07
1704269451.790744,12603,6.891248744977929e-07
1704270002.115872,12907,6.881016929582984e-07
1704270072.087659,12946,6.879737952658616e-07
1704270126.048983,12974,6.878818794575636e-07
1704270134.244594,12978,6.878688054712256e-07
1704270233.137347,13026,6.877113492009812e-07
1704270281.756248,13050,6.87632621065859e-07
1704270371.060057,13094,6.874884093122091e-07
1704270568.474125,13190,6.871737809888145e-07
1704270899.039787,13351,6.866464445920428e-07
1704271219.758159,13524,6.860631742711121e-07
1704271269.733495,13552,6.859716563667462e-07
1704272062.070748,13982,6.845502298347128e-07
1704272554.397307,14260,6.836303327872884e-07
1704272567.294362,14267,6.836075385763252e-07
1704272725.840775,14356,6.833174666098785e-07
1704272738.011811,14363,6.832947292423341e-07
1704273117.196422,14579,6.825912919339316e-07
1704273731.608527,14927,6.81459539464413e-07
1704273896.412184,15021,6.811541197748738e-07
1704273976.35627,15067,6.810047352701076e-07
1704274187.30752,15187,6.806151304772357e-07
1704274449.272155,15336,6.801317340432433e-07
1704275110.3941,15714,6.789069288970495e-07
1704275193.610753,15762,6.787516326767218e-07
1704275943.655499,16187,6.773774430257617e-07
1704276202.996676,16315,6.769641345272248e-07
1704276269.331579,16348,6.768576668036985e-07
1704276362.211601,16394,6.767091917936341e-07
1704276433.319144,16429,6.765962439203577e-07
1704277025.502258,16733,6.756162065357785e-07
1704277343.744447,16909,6.750494776497362e-07
1704277516.030769,17004,6.747437168996839e-07
1704278754.01012,17690,6.725402386109636e-07
1704278898.633197,17770,6.722837611050636e-07
1704279087.59919,17875,6.719471912219888e-07
1704279109.010168,17887,6.7190870822742e-07
1704279324.74938,18007,6.715243330290832e-07
1704279532.532405,18123,6.711530318170844e-07
1704279560.966599,18139,6.711018158966908e-07
1704279688.272705,18209,6.708778528263792e-07
1704280070.05044,18407,6.702447308271076e-07
1704280115.568838,18431,6.701680490550643e-07
1704280188.516923,18470,6.700435051243403e-07
1704280213.159894,18483,6.70001952585153e-07
1704280287.670227,18524,6.698709285046789e-07
1704280716.854986,18767,6.690951863674854e-07
1704280743.429193,18782,6.690473242088046e-07
1704281641.594428,19280,6.674604264844675e-07
1704281723.081026,19321,6.673299708381819e-07
1704281828.039209,19379,6.671454571005597e-07
1704282281.695285,19619,6.663824478891911e-07
1704282707.597678,19843,6.656709956587292e-07
1704282858.693163,19924,6.654138928752218e-07
1704283235.497944,20136,6.64741605760355e-07
1704283710.222158,20405,6.638895797550504e-07
1704283775.202162,20442,6.637724254687782e-07
1704283903.883781,20515,6.635413569711091e-07
1704284479.089733,20843,6.625044193242502e-07
1704284818.60462,21038,6.618886914111499e-07
1704285165.407297,21235,6.612672223127447e-07
1704285440.791577,21392,6.607723435081425e-07
1704285781.386705,21586,6.601613904422265e-07
1704285818.734337,21607,6.600952815460914e-07
1704285846.822081,21623,6.600449182769808e-07
1704285946.205704,21680,6.59865520447056e-07
1704286748.803874,22138,6.584260177078249e-07
1704286911.980598,22231,6.581340699085558e-07
1704287012.066017,22287,6.579584237442759e-07
1704287178.024762,22382,6.576603936991887e-07
1704287540.596075,22569,6.570742243638961e-07
1704287615.829878,22606,6.5695826378942e-07
1704287923.812015,22758,6.564823138432985e-07
1704287974.172743,22783,6.564040404555271e-07
1704288304.372699,22950,6.558815357493586e-07
1704288525.745593,23073,6.554969900207652e-07
1704289135.164802,23409,6.544476036651758e-07
1704289302.400078,23502,6.541574748553103e-07
