Wall time,Step,Value
1704246726.94901,1,0.0
1704247341.008572,352,0.0
1704247903.337884,664,0.0
1704248522.553026,967,0.0
1704249071.871962,1294,0.0
1704249666.910049,1600,0.0
1704250251.140332,1930,0.0
1704250813.185467,2245,0.0
1704251379.115889,2559,0.0
1704251942.381908,2877,0.0
1704252517.551116,3194,0.0
1704253083.195215,3519,0.0
1704253682.237703,3831,0.0
1704254244.777211,4149,0.0
1704254786.275512,4461,0.0
1704255339.853879,4767,0.0
1704255840.487143,5079,0.0
1704256361.080584,5363,0.0
1704256873.671617,5653,0.0
1704257393.015922,5942,0.0
1704258018.15748,6224,0.0
1704258636.8402,6548,0.0
1704259435.145912,6858,0.0
1704260003.55193,7204,0.0
1704260513.910172,7491,0.0
1704261082.803694,7779,0.0
1704261587.198562,8102,0.0
1704262113.633133,8390,0.0
1704262645.754059,8691,0.0
1704263199.012633,8995,0.0
1704263758.701214,9308,0.0
1704264292.179369,9623,0.0
1704264893.76745,9925,0.0
1704265580.254304,10232,0.0
1704266273.633272,10558,0.0
1704266859.025848,10891,0.0
1704267392.832543,11195,0.0
1704267983.02254,11487,0.0
1704268564.306235,11793,0.0
1704269091.399689,12109,0.0
1704269609.735607,12401,0.0
1704270180.953754,12693,0.0
1704270821.271152,13000,0.0
1704271402.618322,13313,0.0
1704271935.764133,13625,0.0
1704272429.376828,13911,0.0
1704272954.331475,14189,0.0
1704273472.647842,14486,0.0
1704273949.504257,14780,0.0
1704274437.089797,15051,0.0
1704274942.183481,15329,0.0
1704275442.931866,15617,0.0
1704275974.965055,15904,0.0
1704276570.773246,16202,0.0
1704277136.958768,16496,0.0
1704277691.203597,16794,0.0
1704278204.347522,17100,0.0
1704278751.446015,17386,0.0
1704279314.135612,17688,0.0
1704279908.294062,18001,0.0
1704280460.35793,18321,0.0
1704280963.388996,18621,0.0
1704281501.708821,18904,0.0
1704282085.885299,19203,0.0
1704282714.771679,19513,0.0
1704283278.188789,19846,0.0
1704283820.6647,20160,0.0
1704284315.537443,20467,0.0
1704284842.890384,20749,0.0
1704285350.605874,21051,0.0
1704285920.752782,21340,0.0
1704286458.860734,21665,0.0
1704286968.434844,21972,0.0
1704287552.776581,22262,0.0
1704288139.427716,22575,0.0
1704288706.247097,22864,0.0
1704289264.040214,23172,0.0
1704289801.550064,23480,0.0
1704290349.76691,23777,0.0
1704290888.99091,24081,0.0
1704291395.182984,24380,0.0
1704291950.752521,24661,0.0
1704292494.295632,24968,0.0
1704292988.868067,25270,0.0
1704293534.955509,25544,0.0
1704294105.599414,25846,0.0
1704294648.077664,26164,0.0
1704295156.199791,26464,0.0
1704295676.125135,26745,0.0
1704296207.967625,27033,0.0
1704296748.011435,27329,0.0
1704297276.139764,27628,0.0
