Wall time,Step,Value
1704246726.952837,1,15.0
1704247341.011047,352,5.0
1704247903.339568,664,4.0
1704248522.554731,967,8.0
1704249071.877084,1294,9.0
1704249666.912081,1600,9.0
1704250251.143147,1930,11.0
1704250813.187401,2245,7.0
1704251379.117741,2559,8.0
1704251942.388311,2877,8.0
1704252517.568545,3194,7.0
1704253083.196997,3519,5.0
1704253682.239564,3831,6.0
1704254244.779109,4149,5.0
1704254786.280286,4461,6.0
1704255339.855429,4767,8.0
1704255840.488682,5079,2.0
1704256361.085797,5363,4.0
1704256873.674001,5653,5.0
1704257393.023622,5942,3.0
1704258018.159376,6224,5.0
1704258636.842954,6548,7.0
1704259435.148094,6858,10.0
1704260003.559909,7204,5.0
1704260513.914489,7491,2.0
1704261082.80551,7779,11.0
1704261587.20012,8102,3.0
1704262113.647886,8390,7.0
1704262645.754962,8691,5.0
1704263199.035003,8995,7.0
1704263758.703414,9308,8.0
1704264292.190841,9623,2.0
1704264893.769183,9925,3.0
1704265580.256776,10232,7.0
1704266273.635066,10558,6.0
1704266859.027481,10891,5.0
1704267392.834307,11195,4.0
1704267983.024571,11487,4.0
1704268564.307851,11793,6.0
1704269091.401248,12109,2.0
1704269609.737906,12401,2.0
1704270180.965029,12693,8.0
1704270821.273264,13000,4.0
1704271402.619686,13313,4.0
1704271935.765558,13625,5.0
1704272429.378837,13911,3.0
1704272954.333042,14189,5.0
1704273472.649079,14486,5.0
1704273949.513504,14780,3.0
1704274437.091489,15051,5.0
1704274942.205614,15329,4.0
1704275442.945969,15617,3.0
1704275974.966918,15904,4.0
1704276570.774941,16202,2.0
1704277136.960616,16496,5.0
1704277691.2098,16794,6.0
1704278204.349192,17100,1.0
1704278751.447928,17386,11.0
1704279314.137266,17688,3.0
1704279908.300883,18001,6.0
1704280460.359803,18321,7.0
1704280963.391157,18621,4.0
1704281501.70999,18904,6.0
1704282085.8871,19203,6.0
1704282714.777254,19513,6.0
1704283278.190123,19846,9.0
1704283820.666133,20160,5.0
1704284315.539326,20467,2.0
1704284842.892346,20749,4.0
1704285350.607665,21051,5.0
1704285920.754538,21340,7.0
1704286458.862349,21665,4.0
1704286968.436545,21972,4.0
1704287552.778684,22262,5.0
