Wall time,Step,Value
1704246726.947938,1,35.0
1704247341.007423,352,45.0
1704247903.337057,664,46.0
1704248522.552118,967,42.0
1704249071.868666,1294,41.0
1704249666.909077,1600,41.0
1704250251.139207,1930,39.0
1704250813.18438,2245,43.0
1704251379.114964,2559,42.0
1704251942.380196,2877,42.0
1704252517.550226,3194,43.0
1704253083.194257,3519,45.0
1704253682.236871,3831,44.0
1704254244.776222,4149,45.0
1704254786.27096,4461,44.0
1704255339.853108,4767,42.0
1704255840.48638,5079,48.0
1704256361.079927,5363,46.0
1704256873.668433,5653,45.0
1704257393.01047,5942,47.0
1704258018.156363,6224,45.0
1704258636.838875,6548,43.0
1704259435.139593,6858,40.0
1704260003.550962,7204,45.0
1704260513.909272,7491,48.0
1704261082.802761,7779,39.0
1704261587.197716,8102,47.0
1704262113.632033,8390,43.0
1704262645.7536,8691,45.0
1704263199.011891,8995,43.0
1704263758.700015,9308,42.0
1704264292.178295,9623,48.0
1704264893.766667,9925,47.0
1704265580.253396,10232,43.0
1704266273.632516,10558,44.0
1704266859.024947,10891,45.0
1704267392.83164,11195,46.0
1704267983.021686,11487,46.0
1704268564.305202,11793,44.0
1704269091.399103,12109,48.0
1704269609.721141,12401,48.0
1704270180.952563,12693,42.0
1704270821.270112,13000,46.0
1704271402.617516,13313,46.0
1704271935.763571,13625,45.0
1704272429.37567,13911,47.0
1704272954.330665,14189,45.0
1704273472.647128,14486,45.0
1704273949.503463,14780,47.0
1704274437.088958,15051,45.0
1704274942.182557,15329,46.0
1704275442.930939,15617,47.0
1704275974.964062,15904,46.0
1704276570.772511,16202,48.0
1704277136.957853,16496,45.0
1704277691.202568,16794,44.0
1704278204.346795,17100,49.0
1704278751.444993,17386,39.0
1704279314.134854,17688,47.0
1704279908.28957,18001,44.0
1704280460.35699,18321,43.0
1704280963.387588,18621,46.0
1704281501.70793,18904,44.0
1704282085.884331,19203,44.0
1704282714.768158,19513,44.0
1704283278.18823,19846,41.0
1704283820.663812,20160,45.0
1704284315.536352,20467,48.0
1704284842.889396,20749,46.0
1704285350.605022,21051,45.0
1704285920.751473,21340,43.0
1704286458.859918,21665,46.0
1704286968.433962,21972,46.0
1704287552.77147,22262,45.0
1704288139.42673,22575,48.0
1704288706.246647,22864,47.0
1704289264.03934,23172,45.0
1704289801.549241,23480,48.0
1704290349.76607,23777,41.0
1704290888.990044,24081,44.0
1704291395.181814,24380,46.0
1704291950.739462,24661,45.0
1704292494.294717,24968,43.0
1704292988.867343,25270,48.0
1704293534.95451,25544,45.0
1704294105.598437,25846,39.0
1704294648.076982,26164,45.0
1704295156.182061,26464,50.0
1704295676.12436,26745,48.0
1704296207.966726,27033,46.0
1704296748.010396,27329,45.0
1704297276.131764,27628,44.0
1704297792.688406,27920,48.0
1704298321.508688,28208,44.0
1704298885.533752,28501,43.0
1704299429.225755,28814,43.0
1704299944.204992,29117,46.0
1704300506.612557,29403,40.0
1704301056.914154,29714,45.0
1704301606.753849,30021,47.0
1704302162.980243,30327,46.0
1704302716.049592,30629,48.0
1704303288.10087,30921,46.0
1704303889.727317,31224,45.0
1704304425.387295,31542,46.0
1704304993.466064,31825,47.0
1704305579.671542,32122,46.0
1704306097.435786,32432,49.0
1704306681.026913,32707,45.0
1704307275.206193,33014,41.0
1704307845.200254,33325,45.0
1704308452.164145,33625,43.0
1704308998.443769,33946,46.0
1704309595.67205,34228,44.0
1704310161.392238,34543,46.0
1704310761.170507,34833,46.0
1704311330.475453,35149,47.0
1704311880.194653,35438,47.0
1704312417.787502,35738,48.0
1704312934.680619,36036,46.0
1704313477.365011,36322,44.0
1704314011.139245,36624,44.0
1704314579.752232,36919,44.0
1704315110.257748,37234,48.0
1704315671.549659,37526,44.0
1704316198.178215,37836,44.0
1704316701.591587,38128,49.0
1704317223.696369,38407,48.0
1704317780.370392,38695,43.0
1704318312.809222,39003,48.0
1704318829.445074,39297,46.0
1704319395.934271,39585,41.0
1704319935.982285,39898,46.0
1704323008.822941,40001,49.0
1704323649.483713,40295,43.0
1704324262.95973,40624,47.0
1704324819.012417,40933,47.0
1704325366.165793,41221,48.0
1704325934.732912,41502,50.0
1704326506.124126,41788,47.0
1704327106.064442,42090,46.0
1704327654.113311,42399,46.0
1704328232.070126,42686,40.0
1704328870.543825,43001,49.0
1704329399.533538,43297,49.0
1704329931.327557,43576,47.0
1704330477.28269,43866,44.0
1704331049.789545,44165,44.0
1704332001.031684,44476,47.0
1704332601.807085,44820,49.0
1704333143.59836,45116,48.0
1704333672.302734,45410,46.0
1704334178.623875,45700,46.0
1704334725.359192,45980,46.0
1704335268.266365,46284,48.0
1704335842.152129,46586,44.0
